fighters_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,fighter_name
3937,0.055624772,0.2080247,0.0,0.2612714,0.0,0.69989634,0.0,0.0,0.0,0.32517412,0.39946294,0.0,0.17217122,0.0,0.0,0.56092525,0.0,0.0,0.0,0.0,0.029544452,0.0,0.0,0.12646537,0.0,0.0,0.17644937,0.25279263,0.0,0.016878175,0.0,0.0035915654,Gilbert Urbina
3939,0.1902043,0.49811396,0.0,0.45683843,0.4054237,0.2649804,0.0,0.024193127,0.1169201,0.41618246,0.34590903,0.0,0.18466642,0.18893732,0.42205736,0.3876593,0.34850922,0.23234421,0.0,0.0023657084,0.0,0.5102613,0.22571602,0.103846624,0.32905057,0.0,0.37498304,0.23874295,0.041959666,0.0,0.0,0.104972124,Yasuhiro Urushitani
3941,0.27901825,0.1284938,0.0155526,0.40231445,0.014910847,0.21564367,0.10213421,0.27723125,0.3277044,0.23443034,0.34388492,0.0,0.38523006,0.23508886,0.016006555,0.3894658,0.053887293,0.078888334,0.23582727,0.18859148,0.19087136,0.3707608,0.31495288,0.41633537,0.06328302,0.24915923,0.23438361,0.15770689,0.17432672,0.08058925,0.04168862,0.53293204,Kamaru Usman
3942,0.19029132,0.11052753,0.12693888,0.1947602,0.028374672,0.3327145,0.09858955,0.0628651,0.0179851,0.37967145,0.117213584,0.0,0.20744757,0.0,0.0,0.22142485,0.0,0.0,0.08017049,0.081351444,0.12399852,0.080744445,0.09060973,0.29085267,0.002831851,0.015158424,0.23861375,0.168111,0.005920255,0.1266286,0.061693273,0.03089487,Mohammed Usman
3943,0.07177231,0.23630872,0.0,0.5688407,0.3786482,0.0,0.21773435,0.10267315,0.62682426,0.5439858,0.4780082,0.0,0.07856877,0.058946338,0.7041704,0.0,0.41725147,0.38373035,0.0,0.0,0.0,1.0051576,0.20229831,0.18553126,0.4805829,0.0,0.26691756,0.13011816,0.0,0.0,0.08410428,0.13426587,Darren Uyenoyama
3944,0.48023728,0.12925513,0.0,0.31412262,0.121717736,0.6246008,0.0,0.22593445,0.17523314,0.60752,0.4679525,0.0,0.15395373,0.11487393,0.07723184,0.6179432,0.11654164,0.5133723,0.0,0.024098031,0.0,0.6379127,0.28793097,0.5385252,0.5281966,0.058748193,0.5284626,0.51678693,0.022274582,0.03725729,0.33810917,0.56975645,Richie Vaculik
3947,0.25534913,0.024171883,0.30770883,0.20351408,0.06319926,0.1967331,0.042687047,0.048218057,0.009392917,0.46171954,0.18559206,0.0,0.2619739,0.116922505,0.0,0.066232614,0.0,0.0,0.01953017,0.012687504,0.15895997,0.0,0.015555619,0.20848478,0.0,0.009156593,0.0473073,0.08608524,0.0,0.0,0.0,0.098466724,Genaro Valdez
3948,0.0,0.32872215,0.0,0.0,0.60233426,0.0,0.027597055,0.0,0.0,0.31459028,0.532836,0.0,0.0,0.0,0.09143998,0.0,0.5180315,0.23228121,0.0,0.0,0.0,0.0,0.0,0.0,0.2272399,0.0,0.014702521,0.3718593,0.0,0.0,0.0,0.0,Charlie Valencia
3949,0.0,0.0,0.0,0.4848342,0.0,0.4104941,0.0,0.0,0.0,0.0,0.0,0.0,0.30974105,0.0,0.0,0.77599823,0.0,0.0,0.0,0.0,0.0,0.0,0.07428245,0.5740475,0.0,0.0,0.17319417,0.0,0.0,0.0,0.0,0.0,Robert Valentin
3952,0.0771585,0.057347726,0.1444098,0.39982763,0.08348135,0.026401544,0.0,0.10803943,0.003680547,0.08616274,0.14770506,0.0,0.4804438,0.0,0.0,0.4834782,0.0,0.0,0.1252004,0.03004601,0.10213687,0.03003802,0.071179315,0.20848544,0.0,0.0,0.0,0.17660718,0.116709106,0.0,0.0,0.038349807,Timur Valiev
3953,0.034905646,0.19702722,0.0,0.47863334,0.6715406,0.010623109,0.2318821,0.2569579,0.33518004,0.66195816,0.5638568,0.0,0.2395273,0.18967068,0.3323752,0.0,0.477476,0.38984716,0.022074226,0.14157592,0.106476426,0.5505349,0.37637264,0.34375072,0.4739538,0.114570424,0.071383655,0.472688,0.025387814,0.0,0.031315364,0.32132104,Victor Valimaki
3956,0.0,0.42218626,0.0,0.24894464,0.03037298,0.27226242,0.0,0.037057757,0.18253586,0.92640746,0.77840453,0.0,0.10716684,0.047525678,0.0,0.6000947,0.1493414,0.5419829,0.09832576,0.018134132,0.0,0.37984532,0.09199693,0.06975013,0.27074477,0.07102144,0.53938925,0.77767855,0.0055578914,0.0,0.00011966191,0.13745414,Isaac Vallie-Flagg
3957,0.32161942,0.05826335,0.27543318,0.30067796,0.038041133,0.5330297,0.18865113,0.1004234,0.0,0.30497938,0.028208023,0.0,0.41217518,0.0,0.0,0.28837034,0.0,0.0,0.0,0.0,0.040672097,0.0,0.040092546,0.28675404,0.0,0.0,0.35822654,0.10437348,0.0,0.17419368,0.1578667,0.046389353,Joshua Van
3958,0.019489648,0.43068823,0.0,0.5553007,0.80078316,0.0,0.16129932,0.5100058,0.7593589,0.6591183,0.7078419,0.0,0.47131014,0.34304893,1.0039272,0.0,0.8927791,0.5875574,0.3870444,0.39257833,0.35569295,1.0009986,0.35612714,0.59050214,0.61929977,0.46821406,0.40205404,0.26362014,0.2798573,0.0,0.0,0.42079893,Mike van Arsdale
3959,0.54858595,0.39261988,0.0,0.3773073,0.39513808,0.0,0.20670247,0.30212873,0.0,0.4260386,0.7202723,0.0,0.17290697,0.1478499,0.042511098,0.0,0.14614387,0.3408128,0.0,0.0,0.03771612,0.22349587,0.53055894,0.38043562,0.36085138,0.0,0.030158224,0.5468609,0.0,0.0,0.0,0.45410943,Matt Van Buren
3963,0.0,0.0,0.0,0.0,0.023927238,0.55362254,0.0,0.0,0.0,0.34569305,0.29731762,0.0,0.0,0.0,0.0,0.3251366,0.0,0.0,0.0,0.0,0.21659814,0.0,0.0,0.0,0.0,0.0,0.0,0.08078799,0.0,0.0,0.0,0.0,Cameron VanCamp
