stat_id,strikes_per_minute,strike_accuracy,strikes_absorbed_per_minute,strike_defense,takedown_average,takedown_accuracy,takedown_defense,submission_average,fighters_id
52,0.32,0.13,3.34,0.25,0.0,0.0,0.0,0.0,52
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53
54,2.72,0.45,2.79,0.49,1.44,0.62,0.6,0.8,54
55,1.93,0.38,2.63,0.5,2.0,0.68,0.81,0.9,55
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
57,2.91,0.54,6.26,0.26,2.57,0.4,0.33,0.0,57
58,5.19,0.39,6.64,0.56,0.15,0.5,0.77,0.2,58
59,3.59,0.38,5.08,0.59,0.93,0.1,0.0,0.0,59
60,3.13,0.44,3.13,0.58,0.0,0.0,0.57,0.0,60
61,3.62,0.46,3.72,0.6,0.49,0.53,0.92,0.1,61
62,3.88,0.46,4.38,0.6,0.66,0.23,0.66,0.0,62
63,3.84,0.43,3.55,0.48,0.87,0.2,0.1,0.9,63
64,2.49,0.28,4.8,0.52,2.0,0.13,0.5,0.0,64
65,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,65
66,2.1,0.39,2.91,0.54,1.85,0.38,0.7,1.2,66
67,3.06,0.54,3.2,0.52,1.19,0.57,0.33,0.0,67
68,0.88,0.19,2.2,0.66,4.71,0.26,0.0,0.0,68
69,4.69,0.57,2.87,0.56,0.0,0.0,0.6,0.0,69
70,1.61,0.45,2.89,0.42,0.35,0.2,0.66,0.7,70
71,1.65,0.38,4.77,0.53,0.37,0.7,0.22,0.7,71
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73
74,5.88,0.51,4.38,0.47,1.03,0.5,0.55,0.1,74
75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75
76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76
77,1.41,0.45,2.2,0.56,1.76,0.38,0.1,0.0,77
78,2.43,0.45,1.07,0.58,2.6,0.54,0.0,0.0,78
79,7.03,0.6,7.27,0.36,1.82,0.33,0.0,1.8,79
80,6.32,0.5,10.11,0.38,0.0,0.0,0.0,0.0,80
81,3.56,0.42,5.74,0.52,1.4,0.71,0.5,0.8,81
82,0.8,0.38,3.1,0.43,0.0,0.0,0.5,0.0,82
83,3.45,0.41,2.88,0.61,0.93,0.47,0.75,0.3,83
84,3.55,0.53,3.67,0.45,1.53,0.38,0.56,1.3,84
85,7.6,0.51,5.87,0.53,2.0,0.66,0.1,0.0,85
86,1.28,0.49,1.9,0.59,0.62,0.5,0.26,0.0,86
87,2.11,0.56,1.02,0.59,5.08,0.5,0.5,1.7,87
88,0.2,0.18,4.53,0.3,0.0,0.0,0.0,0.0,88
89,1.92,0.41,5.75,0.27,0.0,0.0,0.0,0.0,89
90,2.02,0.49,1.2,0.61,3.74,0.38,0.31,1.2,90
91,1.67,0.36,2.6,0.41,0.0,0.0,0.4,5.0,91
92,4.84,0.43,4.93,0.61,0.17,0.14,0.75,0.0,92
93,1.07,0.39,3.33,0.43,0.5,0.33,0.37,0.0,93
94,3.13,0.37,6.07,0.42,0.0,0.0,0.0,0.0,94
95,2.62,0.65,0.89,0.41,6.58,0.6,0.6,2.4,95
96,4.94,0.43,4.92,0.46,0.0,0.0,0.5,0.0,96
97,4.16,0.58,2.32,0.48,0.0,0.0,0.6,0.3,97
98,5.74,0.34,1.91,0.67,0.0,0.0,0.0,0.0,98
99,2.36,0.44,6.06,0.38,1.61,0.26,0.2,0.4,99
100,2.43,0.42,1.97,0.56,3.5,0.29,0.6,1.0,100
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101
102,4.58,0.53,3.82,0.53,2.88,0.38,0.63,0.0,102
103,1.56,0.2,2.08,0.75,0.0,0.0,0.0,0.0,103
104,5.83,0.31,9.25,0.44,0.0,0.0,0.0,0.0,104
105,0.89,0.37,3.25,0.47,0.0,0.0,0.0,0.0,105
106,4.32,0.41,4.39,0.55,2.92,0.36,0.92,0.5,106
107,2.73,0.4,4.53,0.56,1.0,0.33,0.5,0.0,107
108,4.51,0.53,3.32,0.5,0.0,0.0,0.4,1.2,108
109,3.73,0.41,3.42,0.62,0.71,0.6,0.63,0.3,109
110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110
111,0.5,0.46,2.02,0.3,0.0,0.0,0.53,0.0,111
112,3.04,0.48,3.95,0.5,1.22,0.5,0.62,0.8,112
113,1.85,0.48,3.3,0.58,0.29,0.25,0.44,1.5,113
114,3.28,0.44,3.63,0.52,0.06,0.14,0.82,0.1,114
115,2.27,0.24,5.91,0.63,0.0,0.0,0.2,0.0,115
116,3.29,0.47,0.82,0.78,5.84,0.56,0.1,0.0,116
117,5.53,0.35,24.47,0.33,0.0,0.0,0.1,0.0,117
118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118
119,0.83,0.29,3.76,0.4,3.13,0.57,0.1,0.8,119
120,3.16,0.69,6.32,0.33,0.0,0.0,0.5,0.0,120
121,0.99,0.3,3.85,0.46,0.0,0.0,0.0,0.0,121
122,6.31,0.57,2.23,0.61,0.64,0.33,0.78,1.9,122
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123
124,1.33,0.44,2.98,0.46,3.96,0.43,0.35,1.1,124
125,3.05,0.52,1.72,0.63,1.78,0.28,0.0,5.3,125
126,6.75,0.39,2.01,0.83,0.0,0.0,0.0,0.0,126
127,1.47,0.34,2.67,0.54,0.0,0.0,0.25,1.0,127
128,3.54,0.48,4.05,0.5,1.71,0.24,0.8,0.1,128
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131
132,4.43,0.46,2.22,0.59,4.89,0.5,0.83,0.0,132
133,3.97,0.37,3.08,0.61,0.34,0.14,0.6,0.0,133
134,1.76,0.46,3.35,0.37,0.52,0.25,0.53,0.5,134
135,3.0,0.52,6.53,0.31,1.0,0.2,0.5,0.0,135
136,0.93,0.19,4.93,0.5,0.0,0.0,0.0,0.0,136
137,0.2,0.36,2.6,0.53,0.0,0.0,0.25,0.8,137
138,6.44,0.5,5.51,0.54,2.23,0.54,0.72,0.3,138
139,3.26,0.42,2.77,0.63,1.93,0.5,0.66,0.3,139
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140
141,3.27,0.31,3.0,0.65,0.0,0.0,0.0,0.0,141
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142
143,2.21,0.5,2.72,0.46,2.83,0.5,0.57,0.4,143
144,2.87,0.5,3.5,0.58,0.67,0.2,0.4,0.0,144
145,3.56,0.38,3.77,0.53,0.0,0.0,0.33,0.0,145
146,4.62,0.78,1.86,0.5,4.47,0.5,0.6,1.1,146
147,4.59,0.48,5.54,0.51,2.28,0.66,0.1,0.0,147
148,3.11,0.46,2.76,0.53,0.68,0.3,0.38,0.5,148
149,0.0,0.0,3.13,0.25,0.0,0.0,0.0,0.0,149
150,3.64,0.52,2.37,0.58,0.92,0.31,0.86,0.0,150
151,2.08,0.55,4.21,0.4,5.08,0.36,0.0,1.4,151
152,5.73,0.52,5.0,0.69,0.0,0.0,0.1,0.0,152
153,1.09,0.5,7.64,0.5,0.0,0.0,0.0,0.0,153
154,5.49,0.48,14.27,0.43,0.0,0.0,0.0,0.0,154
155,2.47,0.42,2.47,0.69,0.65,0.1,0.0,0.0,155
156,3.23,0.58,3.75,0.45,1.83,0.16,0.75,0.0,156
157,0.97,0.58,1.25,0.58,2.54,0.41,0.6,4.0,157
